text,intent,dialect,source
"""يا هلا بالمستكشفين الصغار! غطسوا في الخليج العربي وجمعوا قطع آثار دلمون القديمة. حلوا الألغاز، بعدوا عن الدلافين اللعوبة، وتعلموا عن تاريخنا البحري الحافل. كل كنز غرقان له سالفة - تقدرون تكشفون أسراره؟""",general,Eastern,saudial
ابغى الطريق للمطار,locations,Eastern,synthetic_aug
رفيق نبهني الساعة سبعة الصبح من فضلك,reminders,Hijazi,synthetic_aug
رفيق اقرأ آخر سورة البقرة بسرعة,quran,Eastern,synthetic_aug
القرآن للأطفال,quran,Najdi,synthetic
ملعب للمشي,locations,Najdi,synthetic
مركز تأهيل وين من فضلك,locations,Najdi,synthetic_aug
قيام الليل الساعة كم من فضلك,prayer_time,Najdi,synthetic_aug
"""الحبابة تسوي كليجا للعيد. ساعدها ترتب حشوة التمر والمكسرات!""",emergency,Eastern,saudial
الأكل بعد العملية,diet,Janoubi/Southern,synthetic
"""بسم الله، يا تجار الهجن! حياكم في أول حراج هجن بالواقع المعزز بالعالم. استخدموا النظارة عشان تشيكون على المحالب والشقر. زايدوا بعقل، بس انتبهوا من صور المطاوعة المجسمة اللي تبي تبيعكم هجن طيارة! تذكروا، 'اللي ما يعرف السلالة، خليه يسمع الرنة' - إذا ما تعرف الأنساب، اسمع صوت البعير!""",reminders,Najdi,saudial
قاموس عربي بسرعة,general,Najdi,synthetic_aug
اللهم اشفني,islamic_advice,Eastern,synthetic
وش أكل اليوم الحين,diet,Najdi,synthetic_aug
وين أقرب مسجد الحين,locations,Janoubi/Southern,synthetic_aug
رفيق اشرح لي المشكلة,conversation,Eastern,synthetic_aug
ممكن سمك أسبوعياً كم مرة,diet,Hijazi,synthetic_aug
ابغى تساعدني اتصل بأهلي وقل لهم طاحت بسرعة,emergency,Najdi,synthetic_aug
الدعاء المستجاب,islamic_advice,Najdi,synthetic
رفيق حق الأولاد من فضلك,islamic_advice,Eastern,synthetic_aug
"""أهلا، يا عاشق الرياضة! دير مجمع الرياضة الشامل الجديد في جدة. نظم برامج للرجال والستات والعيال من كل القدرات. خطط لدوريات تنافسية وحصص رياضة وأنشطة للعيلة. اضمن سهولة الوصول وسوي بيئة ترحب بالكل. عزز الصحة والوحدة من خلال الرياضة!""",general,Hijazi,saudial
رفيق موعد صرف الراتب,reminders,Najdi,synthetic_aug
ابغى تساعدني وين المخرج,locations,Najdi,synthetic_aug
سلطة للفطور,diet,Najdi,synthetic
يا رفيق مركز تأهيل وين الحين,locations,Hijazi,synthetic_aug
"""مرحبا بمهرجان البحر الأحمر الرمضاني! مهمتك: تجهز فطور تحت المية لأصحابنا عرايس البحر الجداد. استخدم طرق طبخ ما تضر المرجان، وبلاش تقدم أي حاجة ليها زعانف، وما تخلي الفرن يغرق! افتكر، في المطبخ دا، 'العوم مع السمك' حاجة حلوة!""",diet,Hijazi,saudial
ساعدني من أنت الحين,general,Eastern,synthetic_aug
ساعدني دواء صنعة طبيعية الحين,medication,Hijazi,synthetic_aug
ممكن قاموس عربي,general,Hijazi,synthetic_aug
ابغى تساعدني اللهم اشفني,islamic_advice,Hijazi,synthetic_aug
رفيق الإشارة الحمراء وين أتحول,locations,Hijazi,synthetic_aug
كيف تشتغل,conversation,Najdi,synthetic
احتاج زيارة المريض سنة من فضلك,islamic_advice,Hijazi,synthetic_aug
كم جزء في القرآن,quran,Hijazi,synthetic
"""يا سلام، يا طباخ المستقبل! عربية الأكل الذكية بتاعتك على كورنيش جدة اتجننت. قاعدة تقدم آيس كريم لبنة وآيس كبسة! عيد برمجة حسابات الطعم، ظبط توقعات الزباين، وما تخليهاش تطلب طن لبن بدل البنزين. يلا، قبل ما تبدأ تسوي شاورما سموذي!""",diet,Hijazi,saudial
"""مرحبا، يا حافظ الفن! علم طريقة الرسم على الجدران العسيرية المعروفة بالقط العسيري. دل الطلاب كيف يسوون الأشكال الهندسية والرسومات الرمزية. اخلط الألوان الطبيعية واستخدم الطرق القديمة. خل هالفن المعترف به من اليونسكو حي للأجيال الجاية!""",general,Southern,saudial
رفيق اتصل على نجدة,emergency,Najdi,synthetic_aug
احتاج ذكرني بالعلاج الطبيعي من فضلك,reminders,Najdi,synthetic_aug
احتاج باي يا أخوي,general,Hijazi,synthetic_aug
حفظ سورة قصيرة,quran,Eastern,synthetic
الدواء هذا قديم الحين,medication,Najdi,synthetic_aug
"""سلام، يا رايد الطبخ! طور حلول أكل مستدامة لسكان الرياض المتزايدين. سو مزارع عمودية، وصمم منشآت للحوم المصنعة في المختبر، وابتكر أكلات جديدة تخلط بين العادات والتقنية. اضمن الأمن الغذائي وحافظ على النكهات السعودية. أطعم المستقبل، من اليوم!""",diet,Najdi,saudial
خصائصك إيش,general,Najdi,synthetic
يا رفيق تعبت من الصمت,conversation,Najdi,synthetic_aug
إيش رأيك في الحياة بسرعة,conversation,Najdi,synthetic_aug
وقت دوائي,medication,Janoubi/Southern,synthetic
محتاج مساعدة طبية الحين,emergency,Hijazi,synthetic
سبحة الذكر بعد الصلاة من فضلك,prayer_time,Hijazi,synthetic_aug
"""أهلا، يا الدبلوماسي حافظ السلام! نسق بعثة حفظ سلام تابعة للأمم المتحدة في منطقة حرب. دير القوات الدولية، واتفاوض مع القادة المحليين، وقدم المساعدات الإنسانية. هدفك تحقق الاستقرار في المنطقة وتحمي المدنيين. افتكر، النصر الحقيقي بيجي من السلام، مش من الحرب.""",general,Hijazi,saudial
"""الصياد الكبير يقول إن في المسجد ممر سري. يلّا نغطس ونشوف!""",locations,Hijazi,saudial
ممكن كيف أحفظ الأنسولين,medication,Najdi,synthetic_aug
وقت الصلاة كم من فضلك,prayer_time,Eastern,synthetic_aug
"""عبيت الحرام ونسيت السواك!""",islamic_advice,Eastern,saudial
رفيق قصة ملك سعودي الحين,conversation,Eastern,synthetic_aug
رفيق وقت الفجر بكرة,prayer_time,Janoubi/Southern,synthetic_aug
الدكتور كتب لي دواء ما أعرفه,medication,Hijazi,synthetic
قولي موعد صرف الراتب من فضلك,reminders,Najdi,synthetic_aug
وقت العشاء كم,prayer_time,Hijazi,synthetic
الحبوب هذي كم حبة باليوم,medication,Hijazi,synthetic
ابغى تساعدني أذكار الصباح الحين,islamic_advice,Hijazi,synthetic_aug
"""شوف النقوش هذي! تحكي قصة ملك زمان.""",conversation,Hijazi,saudial
ابغى فضل المشي للمسجد,islamic_advice,Najdi,synthetic_aug
ابغى ذكرني أتصل بأولادي بسرعة,reminders,Hijazi,synthetic_aug
ساعدني فطور صحي ايش آكل بسرعة,diet,Najdi,synthetic_aug
احتاج احترقت يدي,emergency,Eastern,synthetic_aug
اتصل بالدفاع المدني,emergency,Najdi,synthetic
ابغى مناسبة قريبة يا أخوي,reminders,Eastern,synthetic_aug
ممكن ساعدني بسرعة,emergency,Eastern,synthetic_aug
الصلاة القادمة متى,prayer_time,Najdi,synthetic
التفاح في الصبح,diet,Janoubi/Southern,synthetic
"""أبراجنا الطينية عمرها قرون، بس تغير المناخ يهددها. محتاجين نوثق المباني هذي باستخدام المسح ثلاثي الأبعاد، وبعدين نطور طرق حفظ تحترم الطرق القديمة وتدخل التقنية الجديدة عشان نحميها من الطقس القاسي.""",quran,Southern,saudial
يا رفيق أقرب عيادة جلدية من فضلك,locations,Hijazi,synthetic_aug
"""الهدف انشاف في الوادي. اضبط على حسب سرعة الهوا والارتفاع قبل ما تطلق النار.""",reminders,Southern,saudial
"""شغلوا مكاينكم! سباق القراند بري بيبدأ الحين!""",quran,Eastern,saudial
رفيق آية الكرسي قبل النوم يا أخوي,quran,Najdi,synthetic_aug
"""المشوار لمكة مو بس للجسم. أنت جاهز روحياً للحج؟""",islamic_advice,Najdi,saudial
"""هلا، يا المؤرخ الرقمي! سوّ متحف واقع افتراضي يعرض تاريخ السعودية الغني. صمم معارض تفاعلية من الحضارات القديمة للعصر الحالي. خلّ القطع الأثرية تصير حية بالمسح ثلاثي الأبعاد والهولوجرام. اجعل تعلم تراثنا مغامرة ممتعة وكأنك عايشها!""",general,Najdi,saudial
ساعدني تفسير ابن كثير بسرعة,quran,Hijazi,synthetic_aug
احتاج أعد هذه الآية,quran,Najdi,synthetic_aug
رفيق كيف أروح للعيادة بسرعة,locations,Hijazi,synthetic_aug
طبيب الأطفال وين,locations,Hijazi,synthetic
الإسهال وش أكل,diet,Janoubi/Southern,synthetic
ممكن ذكرني بمتابعة الطبيب الحين,reminders,Najdi,synthetic_aug
رفيق أجر عيادة المريض من فضلك,islamic_advice,Janoubi/Southern,synthetic_aug
ساعدني ذكرني أتصل بأولادي,reminders,Janoubi/Southern,synthetic_aug
يا رفيق طارئ طارئ محتاج مساعدة,emergency,Najdi,synthetic_aug
"""السباق يبدأ بعد 5 دقايق! خذ لك سيارة سريعة وتعال لموقف استاد الملك فهد.""",quran,Najdi,saudial
ذكرني أصلي الضحى,reminders,Janoubi/Southern,synthetic
"""سوق الدبابة بين الصخور بدون ما تعلق.""",locations,Eastern,saudial
يا رفيق تسمم غذائي يا أخوي,emergency,Eastern,synthetic_aug
"""يا ويلي، الجرو جعان! بسرعة، عطه شوية أكل!""",diet,Southern,saudial
ساعدني وين الشارع الرئيسي الحين,locations,Najdi,synthetic_aug
ابغى ذكر الله من فضلك,islamic_advice,Najdi,synthetic_aug
يا رفيق دواء السكر يا أخوي,medication,Janoubi/Southern,synthetic_aug
يا رفيق اتصل بالإسعاف من فضلك,emergency,Eastern,synthetic_aug
يا رفيق جدول أدويتي اليوم بسرعة,medication,Hijazi,synthetic_aug
هل الدواء يسبب نعاس الحين,medication,Hijazi,synthetic_aug
قولي فضل صلة الرحم,islamic_advice,Hijazi,synthetic_aug
ابغى الطقس بكرة يا أخوي,general,Najdi,synthetic_aug
يا رفيق وش تقدر تسوي لي بسرعة,general,Janoubi/Southern,synthetic_aug
نكتة يا أخوي,conversation,Hijazi,synthetic_aug
رفيق قدراتك إيش يا أخوي,general,Eastern,synthetic_aug
احتاج ابغى اعرف أوقات الصلاة يا أخوي,prayer_time,Janoubi/Southern,synthetic_aug
قولي رجيم مناسب لي من فضلك,diet,Najdi,synthetic_aug
بر الوالدين فرض,islamic_advice,Najdi,synthetic
ممكن تفسير هذه الآية,quran,Najdi,synthetic_aug
احتاج ذكرني بالسنن,prayer_time,Najdi,synthetic_aug
أقصر سورة بسرعة,quran,Eastern,synthetic_aug
"""مملكتنا محاصرة. لازم نقوي الأسوار ونقسم أكلنا.""",diet,Eastern,saudial
ممكن صوت الشيخ عبد الباسط من فضلك,quran,Najdi,synthetic_aug
يا رفيق فقدت وعيي,emergency,Hijazi,synthetic_aug
"""العلف غالي هالسنة، تقدر تنزل لنا شوي بالسعر؟""",prayer_time,Southern,saudial
زيت الزيتون مفيد يا أخوي,diet,Janoubi/Southern,synthetic_aug
ساعدني المستشفى الحكومي وين,locations,Hijazi,synthetic_aug
"""يلا يا ملك طاقة المستقبل! جا وقت نغير المنطقة الشرقية. سو مزارع شمسية في الصحرا، وطواحين هوا على الساحل، ولا تنسى مولدات المد والجزر في الخليج. بس تذكر، حتى الطاقة النظيفة لها أثر - وازن بين التطور والحفاظ على البيئة المحلية. خلنا نوري العالم إن مو بس البترول عندنا في الطاقة!""",reminders,Eastern,saudial
ابغى تساعدني صلاة التراويح الساعة كم,prayer_time,Najdi,synthetic_aug
احتاج متى الأذان من فضلك,prayer_time,Hijazi,synthetic_aug
دعاء قبل النوم,islamic_advice,Eastern,synthetic
ممكن دعاء الشفاء يا أخوي,islamic_advice,Hijazi,synthetic_aug
أحسن قارئ للقرآن شغله,quran,Eastern,synthetic
ابغى سورة ياسين من فضلك,quran,Najdi,synthetic_aug
قولي تذكير يومي بالماء,reminders,Najdi,synthetic_aug
يا رفيق كاب ماء كافي بسرعة,diet,Hijazi,synthetic_aug
"""ساعد نجهز سفرة الفطور! حط التمر واللبن والشوربة في أماكنها الصح.""",diet,Eastern,saudial
اليوم إيش,general,Najdi,synthetic
أذان المغرب متى,prayer_time,Najdi,synthetic
"""مرحبتين، يا العقل الصناعي المدبر! قود توسعة مدينة الجبيل الصناعية. جيب صناعات يديدة، طبق تقنيات التصنيع الذكية، واضمن الالتزام البيئي. طور برامج تدريب العمال وحسن مرفيق المدينة. خل الجبيل تصير رائدة عالمية في التصنيع المستدام!""",general,Eastern,saudial
إيقاف القرآن,quran,Najdi,synthetic
ممكن كيف أصلي صلاة الجمعة,prayer_time,Janoubi/Southern,synthetic_aug
رفيق وين أقرب مطعم حلال بسرعة,locations,Janoubi/Southern,synthetic_aug
قولي وش تفكر فيه,conversation,Eastern,synthetic_aug
ابغى اسمع قرآن,quran,Hijazi,synthetic
يا رفيق الجمعة الساعة كم يا أخوي,prayer_time,Najdi,synthetic_aug
"""مرحبتين يا مزارع السمك! سو مزارع سمك تدوم في الخليج العربي. وازن بين الروبيان والهامور. استخدم الشعاب الذكية عشان تنظف الماي ومحار اللولو عشان يكشف التلوث. انتبه من تسربات الزيت والقروش الجوعانة!""",diet,Eastern,saudial
أجر الصبر على المرض,islamic_advice,Najdi,synthetic
ابغى تساعدني قصة ملك سعودي من فضلك,conversation,Najdi,synthetic_aug
ممكن الدواء هذا قديم من فضلك,medication,Eastern,synthetic_aug
احتاج طعام خفيف للمعدة من فضلك,diet,Janoubi/Southern,synthetic_aug
وين أصرف الوصفة,locations,Hijazi,synthetic
"""مرحبا، يا اللاعب الخفيف! في اللعبة الغريبة دي، تعاون مع المعيز الجبلي عشان تلعب كورة على جبال عسير الصعبة. اتقن خفة المعيز، واستخدم قرونك للضربات الراسية، واتنقل في الممرات الجبلية الصعبة. نافس فرق المعيز التانية واللاعبين البشريين. اثبت إن المنتخب السعودي عنده روح المعيز الجبلي!""",general,Southern,saudial
احتاج اتصل على نجدة الحين,emergency,Janoubi/Southern,synthetic_aug
رفيق استغفر الله,islamic_advice,Eastern,synthetic_aug
يا رفيق هلا يا أخوي,general,Hijazi,synthetic_aug
ابغى تساعدني موعد التحاليل بسرعة,reminders,Hijazi,synthetic_aug
ألم شديد في البطن,emergency,Eastern,synthetic
"""أهلا، يا مسافر الزمن! دل الزوار في حي البلد القديم في جدة. استكشف البيوت المرجانية القديمة، زور الجوامع التقليدية، ولقي الكنوز التاريخية المخبية. احكي قصص التجار والحجاج المشهورين. خلي التاريخ الغني لهذا المكان التراثي العالمي حي!""",islamic_advice,Hijazi,saudial
ابغى اعرف أوقات الصلاة,prayer_time,Janoubi/Southern,synthetic
"""هلا يا شريكي! خلنا نجهز شوية أكل قبل ما نمشي.""",diet,Southern,saudial
اليوم كم,general,Hijazi,synthetic
قولي ذكرني أحجز موعد من فضلك,reminders,Hijazi,synthetic_aug
تكلم بالعربي الحين,general,Hijazi,synthetic_aug
وقت صلاة المغرب اليوم,prayer_time,Hijazi,synthetic
ساعدني فضل الذكر يا أخوي,islamic_advice,Janoubi/Southern,synthetic_aug
سورة الواقعة يا أخوي,quran,Najdi,synthetic_aug
ابغى أكلة بدون سكر مضاف بسرعة,diet,Najdi,synthetic_aug
ابغى تساعدني تاريخ اليوم يا أخوي,general,Hijazi,synthetic_aug
فيه حريق الحين,emergency,Hijazi,synthetic_aug
احتاج جوعان وش فيه من فضلك,diet,Najdi,synthetic_aug
ذكرني أتصل بأولادي,reminders,Najdi,synthetic
يا رفيق فقدت وعيي الحين,emergency,Eastern,synthetic_aug
ذكرني بالإبرة بعد العشاء من فضلك,medication,Hijazi,synthetic_aug
رفيق شكراً,general,Najdi,synthetic_aug
تنبيهات الصلاة فعّلها,prayer_time,Eastern,synthetic
ناد صحي مناسب لكبار السن,locations,Najdi,synthetic
ساعدني هل أنت ذكي يا أخوي,conversation,Janoubi/Southern,synthetic_aug
يا رفيق ألم المعدة وش أكل الحين,diet,Najdi,synthetic_aug
احتاج قولي شيء يريحني,conversation,Hijazi,synthetic_aug
رفيق دواء الكوليسترول,medication,Eastern,synthetic_aug
ابغى الموز مسموح أكله بسرعة,diet,Najdi,synthetic_aug
حديقة عامة قريبة الحين,locations,Najdi,synthetic_aug
ساعدني أغثني بسرعة بسرعة,emergency,Hijazi,synthetic_aug
معنى اسم رفيق من فضلك,conversation,Janoubi/Southern,synthetic_aug
آخر آية نزلت,quran,Eastern,synthetic
التوبة كيف يا أخوي,islamic_advice,Najdi,synthetic_aug
كيف أروح البنك,locations,Najdi,synthetic
خطة أكل رمضان,diet,Najdi,synthetic
ابغى أنا وحيد الحين,conversation,Najdi,synthetic_aug
رفيق من أنت,general,Eastern,synthetic_aug
ابغى مدخل الطوارئ وين الحين,locations,Najdi,synthetic_aug
التوبة كيف,islamic_advice,Janoubi/Southern,synthetic
ايش كان أجدادنا يعملون,conversation,Najdi,synthetic
ابغى أتعلم شيء جديد,conversation,Hijazi,synthetic
يا رفيق تلاوة هادئة للنوم,quran,Eastern,synthetic_aug
منبه للتمارين,reminders,Hijazi,synthetic
احتاج الإسهال وش أكل من فضلك,diet,Hijazi,synthetic_aug
ابغى المستشفى الحكومي وين بسرعة,locations,Najdi,synthetic_aug
أجر عيادة المريض,islamic_advice,Najdi,synthetic
احتاج علمني دعاء الحين,islamic_advice,Najdi,synthetic_aug
ساعدني استغفر الله,islamic_advice,Eastern,synthetic_aug
التمر فيه سكر كثير,diet,Najdi,synthetic
ساعدني,emergency,Hijazi,synthetic
درجة الحرارة اليوم بسرعة,general,Janoubi/Southern,synthetic_aug
ممكن ليلة طيبة,general,Hijazi,synthetic_aug
"""مرحبا، يا حامي الجبال الخضرا! دير المزارع المدرجة القديمة في جبال عسير. خطط لتبديل المحاصيل، حافظ على قنوات الري المعقدة، واحمي المحاصيل من الجو القاسي. حافظ على طرق الزراعة القديمة وتأقلم مع تحديات تغير المناخ.""",general,Southern,saudial
قولي أحتاج مساعدة فورية,emergency,Eastern,synthetic_aug
احتاج جار المستشفى كيف أدخل,locations,Eastern,synthetic_aug
مركز تأهيل وين,locations,Hijazi,synthetic
"""مرحبتين بمركز المرور المستقبلي في الخبر! نظم رقصة السيارات ذاتية القيادة والتكسيات الطيارة والهجن التقليدية الغالية. استخدم الذكاء الاصطناعي عشان تتوقع الهبايب، وغير المسارات وقت الزحمة، ولا تنسى العرض السنوي للسيارات القديمة. في المدينة الذكية هذي، حتى الزحمة هايتك!""",conversation,Eastern,saudial
ابغى تساعدني ذكرني بالسنن الحين,prayer_time,Hijazi,synthetic_aug
نتيجة التحاليل متى,reminders,Najdi,synthetic
إيقاف القرآن من فضلك,quran,Eastern,synthetic_aug
ساعدني اتصل بالإسعاف من فضلك,emergency,Najdi,synthetic_aug
رفيق فضل المشي للمسجد بسرعة,islamic_advice,Najdi,synthetic_aug
"""يلا يا صيادين الفقع! 'الذهب الأبيض' الأسطوري للصحرا ينتظركم. استخدم هجينك المطور بالذكاء الاصطناعي عشان يشم الفقع الثمين، بس انتبه من السراب والمنافسين الشاطرين. تذكر، في عالم الفقع، الخشم يدري - بس أحيانًا يكذب!""",reminders,Najdi,saudial
احتاج هل دخل وقت العصر من فضلك,prayer_time,Eastern,synthetic_aug
دواء الغدة,medication,Hijazi,synthetic
إيش تعرف عن السعودية الحين,conversation,Janoubi/Southern,synthetic_aug
ابغى تساعدني اتصل بأهلي وقل لهم طاحت من فضلك,emergency,Najdi,synthetic_aug
أضف لقائمة مهامي بسرعة,reminders,Najdi,synthetic_aug
صدري يوجعني من فضلك,emergency,Eastern,synthetic_aug
ابغى تساعدني أحكام التجويد يا أخوي,quran,Najdi,synthetic_aug
"""من البيوت الطينية للأبراج الزجاجية، سماء الرياض تحكي قصة تطورنا.""",conversation,Najdi,saudial
فضل المشي للمسجد,islamic_advice,Najdi,synthetic
خطبة الجمعة الساعة كم من فضلك,prayer_time,Hijazi,synthetic_aug
عيني ما تشوف بسرعة,emergency,Najdi,synthetic_aug
"""يا سلام يا شيف! عربية الأكل الذكية بتاعتك اتجننت. قاعدة تعمل آيس كريم لبنة وسموزي كبسة. عيد برمجة دواير الطعم وتعامل مع الزباين الجعانين المتعصبين. يلا بسرعة، قبل ما تطلب شحنة بلح ديجيتال!""",diet,Hijazi,saudial
"""يا هلا بالحارس الصغير في عجايب منتزه عسير الوطني! تعقب النمور العربية الخفية، وازرع شجر العرعر المحلي، وعلم الزوار عن بيئتنا الفريدة. تذكر، كل حجر ونبات وحيوان له قصة - وشغلتك إنك تحكيها!""",islamic_advice,Southern,saudial
تذكير يومي بالماء,reminders,Najdi,synthetic
قولي ذكرني اتصل بالصيدلية,reminders,Najdi,synthetic_aug
ابغى ذكرني أدفع الفاتورة,reminders,Janoubi/Southern,synthetic_aug
احتاج الصوت واطي ارفع,general,Janoubi/Southern,synthetic_aug
الدواء قبل الأكل ولا بعده,medication,Hijazi,synthetic
يا رفيق ايش تسوي الحين,general,Janoubi/Southern,synthetic_aug
الوقت الحين كم بسرعة,general,Hijazi,synthetic_aug
احتاج حزب المفصل الحين,quran,Najdi,synthetic_aug
ابغى تساعدني شغّل أذان مكة من فضلك,prayer_time,Eastern,synthetic_aug
ساعدني الوقت الحين كم,general,Eastern,synthetic_aug
الدواء هذا إيش يسوي,medication,Janoubi/Southern,synthetic
ألم المعدة وش أكل,diet,Eastern,synthetic
وصفة صحية سهلة,diet,Janoubi/Southern,synthetic
تراث نجدي,conversation,Najdi,synthetic
دعاء للمريض من فضلك,islamic_advice,Eastern,synthetic_aug
"""يلا يلا يا شيف! ده مهرجان جدة السنوي للأكل البحري، وانت مسؤول عن المطبخ العايم. ظبط طلبات سمك حرة وصيادية وجريش، وانت بتطفش النوارس ونقاد الأكل المتحمسين زيادة. افتكر، لو كل حاجة باظت، شوية بهارات تظبط الدنيا!""",diet,Hijazi,saudial
احتاج حزب المفصل,quran,Janoubi/Southern,synthetic_aug
ساعدني وين المخرج بسرعة,locations,Janoubi/Southern,synthetic_aug
ابغى تساعدني كم صفحة باليوم للختمة بسرعة,quran,Eastern,synthetic_aug
وين أقرب مسجد,locations,Hijazi,synthetic
"""يلا نطير طيارتنا جنب نافورة الملك فهد! هوا البحر حلو اليوم.""",quran,Hijazi,saudial
يا رفيق أقرب نقطة شرطة يا أخوي,locations,Janoubi/Southern,synthetic_aug
رفيق ذكرني بالعلاج الطبيعي,reminders,Hijazi,synthetic_aug
ممكن موقع الرياض إيش مرجع الحين,locations,Hijazi,synthetic_aug
اشتراك طبي متى يتجدد,reminders,Hijazi,synthetic
قولي هل دخل وقت العصر يا أخوي,prayer_time,Hijazi,synthetic_aug
المضاد الحيوي انتهيت منه,medication,Najdi,synthetic
ساعدني ابغى خطة غذاء,diet,Janoubi/Southern,synthetic_aug
بيت شعر عن الأمل من فضلك,conversation,Eastern,synthetic_aug
صوت الشيخ عبد الباسط,quran,Janoubi/Southern,synthetic
ساعدني غداء خفيف من فضلك,diet,Eastern,synthetic_aug
"""أهلا وسهلا، يا المضيف الكريم! رحب بالحجاج من كل أنحاء العالم في بيت جدودك في مكة. قدم لهم الضيافة التقليدية، وعلمهم العادات المحلية، وساعدهم يستعدوا لرحلتهم المقدسة. خلي روح ضيافة الحج حية!""",islamic_advice,Hijazi,saudial
"""راقب الغزلان الجبلية، هي جزء مهم من النظام البيئي هنا.""",quran,Hijazi,saudial
ساعدني دعاء لولدي يا أخوي,islamic_advice,Najdi,synthetic_aug
لبن يومي مناسب,diet,Janoubi/Southern,synthetic
يا رفيق ابغى اشتري حبوب ضغط,medication,Eastern,synthetic_aug
صدقة جارية,islamic_advice,Janoubi/Southern,synthetic
تعب من الأكل المكرر الحين,diet,Najdi,synthetic_aug
احتاج ذكرني بزيارة الأهل من فضلك,reminders,Janoubi/Southern,synthetic_aug
قائمة المشتريات,reminders,Eastern,synthetic
ساعدني عصير طبيعي للضغط بسرعة,diet,Hijazi,synthetic_aug
تسمم غذائي,emergency,Janoubi/Southern,synthetic
ابغى الدكتور المخصص لي وين الحين,locations,Eastern,synthetic_aug
ساعدني ثواب الصلاة,islamic_advice,Najdi,synthetic_aug
"""من الطواشة للتكرير، مدينتنا شافت كل شي. وش بيكون الجزء الياي من قصتنا؟""",quran,Eastern,saudial
يا رفيق علم ينتفع به,islamic_advice,Janoubi/Southern,synthetic_aug
ابغى شعر عربي بسرعة,conversation,Eastern,synthetic_aug
كم باقي على العصر,prayer_time,Eastern,synthetic
ترجم لي بسرعة,general,Najdi,synthetic_aug
متى الأذان,prayer_time,Najdi,synthetic
خضار طازجة كيف أحضرها,diet,Eastern,synthetic
يا رفيق المريض ما يأكل إيش أسوي,diet,Najdi,synthetic_aug
يا رفيق دعاء كرب,islamic_advice,Najdi,synthetic_aug
ابغى أذكار المساء,islamic_advice,Najdi,synthetic_aug
الإشارة الحمراء وين أتحول,locations,Janoubi/Southern,synthetic
المريض ما يأكل إيش أسوي,diet,Hijazi,synthetic
احتاج حفظ سورة قصيرة بسرعة,quran,Hijazi,synthetic_aug
ابغى تساعدني دلني على الصيدلية,locations,Najdi,synthetic_aug
ابغى تساعدني وداعاً الحين,general,Hijazi,synthetic_aug
كم باقي على العصر بسرعة,prayer_time,Eastern,synthetic_aug
هل أخذت حبوبي اليوم,medication,Najdi,synthetic
الأذان متى بسرعة,prayer_time,Najdi,synthetic_aug
كيف أروح للعيادة,locations,Eastern,synthetic
ابغى ابغى اتكلم معك بالعربي,general,Hijazi,synthetic_aug
احتاج عيادة القلب وين بسرعة,locations,Janoubi/Southern,synthetic_aug
ابغى تساعدني طفل ابتلع شي بسرعة,emergency,Janoubi/Southern,synthetic_aug
ممكن طبخة للمريض من فضلك,diet,Hijazi,synthetic_aug
قولي مرحبا الحين,general,Hijazi,synthetic_aug
رفيق تذكير بالفاتورة بسرعة,reminders,Hijazi,synthetic_aug
"""دفتر التاجر القديم يحكي عن حجرة مخبية تحت البلد، بس الحبر باهت. لازم نستخدم ضوء فوق البنفسجي عشان نظهر الحبر المخفي ونفك رموز الكتابة الحجازية القديمة. يمكن الحجرة فيها آثار من بداية الإسلام!""",islamic_advice,Hijazi,saudial
القرآن بالتجويد,quran,Najdi,synthetic
ساعدني موقف السيارات وين,locations,Hijazi,synthetic_aug
ابغى تساعدني عدد آيات سورة البقرة,quran,Hijazi,synthetic_aug
"""سلام عليكم، يا دكتور الفريق! دير صحة ولياقة أبطالنا الوطنيين. استخدم أحدث الطرق الطبية الرياضية عشان تمنع الإصابات، وصمم خطط علاج خاصة لكل لاعب، واتخذ قرارات مهمة وقت المباريات. خبرتك ممكن تكون الفرق بين الفوز والخسارة. خل الصقور الخضر تحلق فوق!""",medication,Najdi,saudial
ابغى آية عن الجنة الحين,quran,Hijazi,synthetic_aug
ابغى ابغى خطة غذاء بسرعة,diet,Eastern,synthetic_aug
ساعدني ذكرني بزيارة الأهل,reminders,Hijazi,synthetic_aug
ساعدني الله يعافيك,general,Eastern,synthetic_aug
ممكن معلومة ممتعة من فضلك,conversation,Hijazi,synthetic_aug
ذكرني بزيارة الأهل,reminders,Eastern,synthetic
ممكن دواء صنعة طبيعية بسرعة,medication,Eastern,synthetic_aug
طعام خفيف للمعدة من فضلك,diet,Eastern,synthetic_aug
احتاج أقرب عيادة جلدية,locations,Najdi,synthetic_aug
الدكتور المخصص لي وين من فضلك,locations,Najdi,synthetic_aug
الصوت عالي خفف الحين,general,Najdi,synthetic_aug
يا رفيق منبه للتمارين من فضلك,reminders,Janoubi/Southern,synthetic_aug
ابغى أضحك,conversation,Eastern,synthetic
ابغى تساعدني شكراً من فضلك,general,Hijazi,synthetic_aug
ما اسمك,general,Eastern,synthetic
رفيق آية عن الموت الحين,quran,Hijazi,synthetic_aug
ابغى تساعدني ناد صحي مناسب لكبار السن يا أخوي,locations,Janoubi/Southern,synthetic_aug
"""واحنا نجهز للحج، افتكر: المشوار لمكة يبدأ بمشوار جوا نفسك.""",islamic_advice,Hijazi,saudial
ممكن الإشارة الحمراء وين أتحول,locations,Najdi,synthetic_aug
